"dimension_type","dimension","clicks","impressions","ctr_percent","average_position"
"query","замовити сайт","0","243","0","64.8"
"query","інтернет магазин під ключ","0","142","0","67.9"
"query","замовити сайт київ","0","80","0","85.8"
"query","створення сайтів київ","0","64","0","75.0"
"query","просування сайту у києві","0","41","0","77.3"
"query","створення сайту київ","0","41","0","80.0"
"query","landing page під ключ","0","37","0","59.9"
"query","створити сайт київ","0","35","0","47.9"
"query","лендінг для клінінгової компанії","0","32","0","8.4"
"query","замовити інтернет магазин під ключ","0","26","0","93.5"
"query","інтернет-магазин під ключ","0","22","0","72.0"
"query","сайт для бізнесу","0","21","0","24.2"
"query","створення інтернет магазину під ключ","0","20","0","76.0"
"query","створення сайтів у черкасах","0","18","0","45.1"
"query","сайт під ключ","0","17","0","69.9"
"query","створити інтернет магазин ціна","0","16","0","97.3"
"query","скільки коштує створити інтернет магазин","0","15","0","91.6"
"query","замовити інтернет магазин","0","13","0","84.5"
"query","інтернет магазин на замовлення","0","12","0","45.7"
"query","вартість створення інтернет магазину","0","12","0","95.4"
"query","скільки коштує відкрити інтернет магазин","0","11","0","77.5"
"query","заказать сайт интернет магазина под ключ","0","11","0","89.9"
"query","медичний сайт під ключ","0","10","0","61.9"
"query","сайт під ключ для медичного центру","0","9","0","79.9"
"query","створення інтернет магазину ціна","0","9","0","98.4"
"query","створення сайтів черкаси","0","8","0","41.6"
"query","створити сайт для бізнесу","0","8","0","79.1"
"query","сайт под ключ интернет магазин","0","8","0","85.6"
"query","підтримка сайту","0","7","0","79.3"
"query","скільки коштує інтернет магазин","0","7","0","89.0"
"query","створити сайт у черкасах","0","6","0","37.3"
"query","розробка сайтів черкаси","0","6","0","52.8"
"query","сайт под ключ для клиники","0","6","0","77.7"
"query","скільки коштує зробити інтернет магазин","0","6","0","82.8"
"query","послуги створення сайтів для медицини","0","6","0","85.7"
"query","розробка медичних сайтів під ключ","0","6","0","87.3"
"query","скільки коштує створити сайт інтернет магазин","0","6","0","87.5"
"query","вартість інтернет магазину","0","6","0","94.5"
"query","зробити сайт київ","0","5","0","51.8"
"query","розкрутка сайтів черкаси","0","5","0","52.2"
"query","сайт під ключ у черкасах","0","5","0","61.8"
"query","створення сайтів під ключ київ","0","5","0","77.4"
"query","создать сайт в черкассах","0","5","0","78.0"
"query","разработка интернет магазинов ключ","0","5","0","78.6"
"query","інтернет магазин створити ціна","0","5","0","79.0"
"query","замовити сайт у києві","0","5","0","86.0"
"query","заказать интернет магазин под ключ","0","5","0","86.4"
"query","вартість інтернет магазину під ключ","0","5","0","87.8"
"query","створити інтернет магазин під ключ","0","5","0","92.6"
"query","замовити створення медичних сайтів","0","5","0","92.8"
"query","створення сайтів у києві","0","4","0","35.3"
"query","розробка сайту в черкасах","0","4","0","72.3"
"query","технічна підтримка сайтів","0","4","0","80.5"
"query","скільки коштує відкрити інтернет магазин в україні","0","4","0","82.8"
"query","заказать сайт в черкассах","0","4","0","84.5"
"query","сайт под ключ в черкассах","0","4","0","91.0"
"query","замовити створення інтернет магазину під ключ","0","4","0","99.3"
"query","створення сайту для бізнесу","0","3","0","45.7"
"query","создание интернет магазина с нуля под ключ","0","3","0","69.7"
"query","замовити сайт в києві","0","3","0","79.3"
"query","создать бизнес сайт","0","3","0","79.3"
"query","заказать сайт черкассы","0","3","0","82.0"
"query","створення сайту в києві","0","3","0","83.3"
"query","замовити інтернет-магазин","0","3","0","86.0"
"query","создание сайтов в черкассах","0","3","0","89.3"
"query","сделать сайт интернет магазина под ключ","0","3","0","94.0"
"query","сайт для малого бізнесу","0","2","0","36.5"
"query","сайт під ключ київ","0","2","0","52.0"
"query","створення сайтів в києві","0","2","0","62.0"
"query","онлайн магазин під ключ","0","2","0","68.0"
"query","сайт інтернет магазин під ключ","0","2","0","70.5"
"query","сайт для послуг","0","2","0","71.5"
"query","клінінг під ключ","0","2","0","76.5"
"query","сайт-візитка під ключ","0","2","0","80.0"
"query","створення української версії сайту","0","2","0","81.5"
"query","сделать интернет магазин под ключ","0","2","0","87.5"
"query","створення інтернет магазину під ключ ціна","0","2","0","88.5"
"query","заказать сайт под ключ интернет магазин","0","2","0","95.0"
"query","создание интернет магазин под ключ","0","2","0","96.0"
"query","создание интернет магазина с нуля и под ключ","0","2","0","97.5"
"query","разработка создания крупных интернет магазинов под ключ","0","2","0","99.0"
