url,type,baseline_description_chars,distinct_inlink_sources,proof_state,provisional_decision,baseline_next_action
/blog/canonical-url-prostymy-slovamy/,article,88,1,editorial-only,IMPROVE,"Rewrite description; add primary sources; add contextual technical-SEO inlinks"
/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,article,89,2,editorial-only,IMPROVE,"Rewrite description; add primary sources; monitor query/page data"
/blog/chomu-tsiny-na-sajty-vidriznyayutsya/,article,130,2,sourced-editorial,KEEP,"Monitor GSC and assisted conversions; strengthen contextual inlinks"
/blog/ga4-konversiyi-dlya-sajtu/,article,71,2,sourced-editorial,IMPROVE,"Rewrite description; link contextually from analytics service"
/blog/google-ads-dlya-biznesu/,article,90,1,editorial-only,IMPROVE,"Rewrite description; add Google primary sources; link from Ads service"
/blog/google-analytics-search-console/,article,107,1,sourced-editorial,IMPROVE,"Rewrite description; link from analytics service"
/blog/landing-dlya-google-ads/,article,85,2,sourced-editorial,IMPROVE,"Rewrite description; link from Ads and landing owners"
/blog/lending-abo-korporatyvnyj-sajt/,article,131,7,sourced-editorial,KEEP,"Monitor GSC and assisted conversions"
/blog/nextjs-chy-wordpress/,article,83,1,sourced-editorial,IMPROVE,"Rewrite description; add links from both technology owners; extend comparison only with sources"
/blog/pidtrymka-saytu-pislya-zapusku/,article,87,2,sourced-editorial,IMPROVE,"Rewrite description; link from support owner"
/blog/redesign-saytu-bez-vtraty-seo/,article,84,2,editorial-only,IMPROVE,"Rewrite description; add primary sources; link from redesign owner"
/blog/sajt-dlya-kliningovoyi-kompaniyi/,article,95,2,relevant-client-case,IMPROVE,"Rewrite description; add sources; preserve Formula Chystoty bridge"
/blog/seo-first-pidhid/,article,68,2,editorial-only,IMPROVE,"Rewrite description; add primary sources; avoid unsupported proprietary-performance claim"
/blog/shcho-vhodyt-u-sajt-pid-klyuch/,article,129,6,sourced-editorial,KEEP,"Monitor GSC and assisted conversions"
/blog/shcho-vhodyt-u-stvorennya-internet-magazynu-pid-klyuch/,article,119,2,editorial-only,IMPROVE,"Perform substantive review; add visible review date and sources"
/blog/skilky-koshtuye-stvorennya-internet-magazynu/,article,117,1,sourced-editorial,IMPROVE,"Perform substantive review; add visible review date; link from ecommerce owner"
/blog/skilky-koshtuye-stvorennya-sajtu/,article,135,13,sourced-editorial,KEEP,"Monitor GSC and update prices only with dated source"
/blog/skilky-tryvaye-rozrobka-sajtu/,article,124,2,sourced-editorial,KEEP,"Strengthen contextual inlinks; monitor GSC"
/blog/struktura-sajtu-dlya-seo/,article,83,1,sourced-editorial,IMPROVE,"Rewrite description; link from city directory and SEO owner"
/blog/tehnichne-seo-cheklist/,article,78,2,self-case-and-sources,IMPROVE,"Rewrite description; link from technical SEO and QA pages"
