"cluster_id","primary_query","secondary_queries","intent","geo","canonical_url","current_url","content_type","priority","status","serp_overlap","decision","notes"
"blog-analiz-google-stvorennya-sajtiv-kyiv","аналіз видачі створення сайтів Київ","конкуренти вебстудій Києва; дослідження Google Київ","informational","UA","https://maxsite.com.ua/blog/analiz-google-stvorennya-sajtiv-kyiv/","https://maxsite.com.ua/blog/analiz-google-stvorennya-sajtiv-kyiv/","article","P2","active","see dated SERP evidence","keep-owner","Власна датована SERP-вибірка та методика порівняння"
"blog-canonical-url-prostymy-slovamy","що таке canonical URL","канонічна адреса сторінки; помилки canonical","informational","UA","https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/","https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/","article","P2","active","see dated SERP evidence","keep-owner","Пояснення канонічної адреси та приклади помилок"
"blog-chomu-sajt-bez-seo-ne-daye-rezultatu","чому сайт не отримує органічний трафік","сайт без SEO; причини відсутності органічних заявок","informational","UA","https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/","https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/","article","P2","active","see dated SERP evidence","keep-owner","Діагностика причин, не замовлення просування"
"content-price-gap","чому відрізняються ціни на сайти","дешевий і дорогий сайт; порівняння кошторисів розробки","informational","UA","https://maxsite.com.ua/blog/chomu-tsiny-na-sajty-vidriznyayutsya/","https://maxsite.com.ua/blog/chomu-tsiny-na-sajty-vidriznyayutsya/","article","P2","active","see dated SERP evidence","keep-owner","Причини розриву кошторисів, не загальний прайс"
"blog-ga4-konversiyi-dlya-sajtu","як налаштувати конверсії GA4","події заявки GA4; ключові події сайту","informational","UA","https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/","https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/","article","P2","active","see dated SERP evidence","keep-owner","Пояснення вимірювання подій і перевірки конверсій"
"blog-google-ads-dlya-biznesu","коли бізнесу запускати Google Ads","чи потрібна контекстна реклама; підготовка до Google Ads","informational","UA","https://maxsite.com.ua/blog/google-ads-dlya-biznesu/","https://maxsite.com.ua/blog/google-ads-dlya-biznesu/","article","P2","active","see dated SERP evidence","keep-owner","Критерії готовності бізнесу до реклами"
"blog-google-analytics-search-console","навіщо бізнесу Analytics і Search Console","відмінність GA4 та GSC; аналітика для власника сайту","informational","UA","https://maxsite.com.ua/blog/google-analytics-search-console/","https://maxsite.com.ua/blog/google-analytics-search-console/","article","P2","active","see dated SERP evidence","keep-owner","Пояснення ролі двох інструментів"
"blog","блог MAX SITE","статті MAX SITE про сайти","navigational","UA","https://maxsite.com.ua/blog/","https://maxsite.com.ua/blog/","utility","P2","active","see dated SERP evidence","keep-owner","Навігація експертними матеріалами"
"blog-landing-dlya-google-ads","яким має бути лендінг для Google Ads","посадкова сторінка для реклами; чекліст рекламного лендінгу","informational","UA","https://maxsite.com.ua/blog/landing-dlya-google-ads/","https://maxsite.com.ua/blog/landing-dlya-google-ads/","article","P2","active","see dated SERP evidence","keep-owner","Практичні вимоги до сторінки рекламної кампанії"
"blog-lending-abo-korporatyvnyj-sajt","лендінг чи корпоративний сайт","односторінковий чи багатосторінковий сайт; вибір формату сайту","informational","UA","https://maxsite.com.ua/blog/lending-abo-korporatyvnyj-sajt/","https://maxsite.com.ua/blog/lending-abo-korporatyvnyj-sajt/","article","P2","active","see dated SERP evidence","keep-owner","Порівняння форматів за бізнес-завданням"
