category,question,Next.js + CMS,WordPress + WooCommerce,Shopify,Horoshop,evidence_or_quote,owner,status
scope,Required pages and user roles,,,,,,,data required
catalog,Products variants filters and expected growth,,,,,,,data required
payments,Required payment methods and regional availability,,,,,,,data required
delivery,Required delivery providers and label workflow,,,,,,,data required
integrations,CRM ERP marketplace and accounting integrations,,,,,,,data required
one_time_cost,Design development migration and launch QA,,,,,,,quote required
recurring_cost,12 months of plans hosting apps plugins and support,,,,,,,quote required
transaction_cost,Gateway and platform transaction conditions,,,,,,,verify official terms
operations,Updates backups monitoring security and incident owner,,,,,,,data required
content,Who edits products pages and articles and how often,,,,,,,data required
seo,URL control metadata redirects schema sitemap and migration plan,,,,,,,prototype required
performance,Test on representative catalog and mobile connection,,,,,,,prototype required
portability,Export format code ownership data export and exit cost,,,,,,,contract required
decision,Selected option rejected alternatives and reasons,,,,,,,pending review
