Campaign,Ad group,Negative keyword,Match type
Search-1,Створення програм,безкоштовно,Broad
Search-1,Створення програм,безкоштовна,Broad
Search-1,Створення програм,скачати,Broad
Search-1,Створення програм,скачать,Broad
Search-1,Створення програм,завантажити,Broad
Search-1,Створення програм,торрент,Broad
Search-1,Створення програм,crack,Broad
Search-1,Створення програм,кряк,Broad
Search-1,Створення програм,курс,Broad
Search-1,Створення програм,курси,Broad
Search-1,Створення програм,навчання,Broad
Search-1,Створення програм,урок,Broad
Search-1,Створення програм,вакансія,Broad
Search-1,Створення програм,робота,Broad
Search-1,Створення програм,зарплата,Broad
Search-1,Створення програм,резюме,Broad
Search-1,Створення програм,стажування,Broad
Search-1,Створення програм,реферат,Broad
Search-1,Створення програм,диплом,Broad
Search-1,Створення програм,лабораторна,Broad
Search-1,Створення програм,для студентів,Phrase
Search-1,Створення програм,готова програма,Phrase
Search-1,Створення програм,шаблон,Broad
