id,company,sourceUrl,checkedAt,httpStatus,sourceSha256,priceKind,currencies,publishedPrice,scopeNotes,publishedTiming
1,TOTONIS,https://totonis.com/en,2026-09-12T19:34:41.926824+00:00,200,fe342207dd0d1579f249b1d6ebe44635c9628813741c3ce2b1894a28a6ce5fd2,multi,USD; UAH,Landing від 1 000 USD; корпоративний від 2 000 USD; магазин від 3 000 USD.,"На цій же сторінці є окрема гривнева таблиця: landing 18 000, корпоративний 40 000, магазин 45 000 грн. Відповідність пакетів не пояснено.",Від 20 робочих днів; залежить від формату.
2,iFish,https://ifish.com.ua/ua/poslugi/sajt-kiyiv/,2026-09-12T19:34:41.927273+00:00,200,3d5519377e131ee583ec6925443f37bd8663de7937922ea27fd01c251e8a1559,multi,USD; UAH,Landing за шаблоном 15 000 грн; індивідуальний понад 30 000 грн; базовий магазин 50 000 грн.,Окремі USD-картки й пакети за розміром бізнесу мають інший склад; не прирівнюємо їх до гривневої оцінки.,Не нормалізовано в цій вибірці.
3,Webatom,https://webatom.com.ua/stvorennya-sajtiv-u-kiyevi/,2026-09-12T19:34:41.927382+00:00,200,decdcc627236ba7fa15df94a2c96901fa04c644fab8069c2ea7594604870ffed,from,UAH,Візитка від 9 000 грн; landing від 15 750; компанія від 18 000; магазин від 22 500.,"Портал, дизайн і просування оцінюються окремо; FAQ також використовує умовні одиниці.",Не нормалізовано в цій вибірці.
4,Friendly,https://friendly.com.ua/ua/,2026-09-12T19:34:41.927431+00:00,200,09659b1039274cb4c7ca57fe35dbad24f9303b277ea9e700717a4a1286fce73d,from,UAH,Візитка від 15 000 грн; бізнес-сайт від 30 000; корпоративний від 55 000; магазин від 70 000.,"Початкові бюджети різних форматів, не однаковий обсяг.",Не нормалізовано в цій вибірці.
5,KWEB,https://www.kweb.kiev.ua/,2026-09-12T19:34:41.927522+00:00,200,f7927f10d15e9698a165be4b1eb5501c78bd8e64dd8925e6adb90596971c35a5,units,UNSPECIFIED,Візитка від 300 у.о.; корпоративний від 500; магазин від 700; landing від 200.,Умовні одиниці не перераховано у USD чи UAH без явного визначення валюти.,Не нормалізовано в цій вибірці.
6,Веб Студіо,https://www.webstudio.lviv.ua/,2026-09-12T19:34:42.345201+00:00,200,c521ddb1b76e51723c73aa3b76846955b5e08c6027c4cc36545a73c49fe96f10,from,USD,Візитка від 390 USD; бізнес-сайт від 590; магазин від 790.,Пакет візитки передбачає до 15 сторінок; порівнювати з односторінковим тарифом некоректно.,Візитка 10–20 днів; бізнес 20–30; магазин 20–40.
7,Фабрика Сайтів,https://fabryka.cc/,2026-09-12T19:34:42.373022+00:00,200,f966e37cc596d464185f51432b10044cf79111b5c63fc9c2edb417aaa599c25c,multi,UAH,Простий сайт від 5 700 грн; візитка від 10 800; landing від 10 000; магазин у таблиці від 20 000.,FAQ окремо називає магазин від 16 000 грн. Потрібне уточнення складу двох пропозицій.,Не нормалізовано в цій вибірці.
8,QMarket,https://qmarket.com.ua/,2026-09-12T19:34:42.675501+00:00,200,7318cb807d1b81b5a5c8990cac03705930e77e22fcd06cf0a5a78d9a53cf08cd,from,UAH,Landing від 4 900 грн; сайт компанії від 9 900.,Відкриті стартові пропозиції; остаточний склад слід погоджувати.,Не нормалізовано в цій вибірці.
9,SUFIX,https://websufix.com/,2026-09-12T19:34:42.821995+00:00,200,5019a9265343c8ed43a32d89db19470d60ffc183e9d75fccf733c8f4464a7b9a,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Це не твердження про відсутність прайсу на всьому сайті.,Не нормалізовано в цій вибірці.
10,PBB design,https://pbb.design/,2026-09-12T19:34:42.870373+00:00,200,b6cef58e3687af001a74bf1001ba4aa64579fab546b879e527526282cdbea0e3,general,UAH,Розробка сайту від 10 000 грн.,Загальний старт без єдиного визначеного формату.,Не нормалізовано в цій вибірці.
11,SEO Lviv,https://seolviv.com.ua/poslugy/stvorennya-sajtiv,2026-09-12T19:34:42.908766+00:00,200,9914009892a8d2bd2588529f60a1717ca0478282274338d0643630d8c6fe4058,title-only,USD,Заголовок сторінки містить ціну від 400 USD.,Склад пакета за цією ціною у перевіреному тексті не визначено; окремо від деталізованих тарифів.,Не нормалізовано в цій вибірці.
12,Sena,https://sena.od.ua/uk.html,2026-09-12T19:34:43.060180+00:00,200,cf803b47a050fb37b54841d43ff80d9553a67edd31367722ed92fd6599045f0c,units,UNSPECIFIED,Економ від 100 у.о.; стандарт від 300; індивідуальний від 500.,Економ — шаблон із 3–5 пунктами меню; валюта умовної одиниці не визначена.,Для економ-пакета заявлено 24–48 годин.
13,WebManna,https://webmanna.pro/,2026-09-12T19:34:43.147641+00:00,200,12369b16b1b3bfab1f177c025200487f46463d970e392ebe590fd333a507d2c3,general,UAH,Розробка сайту від 5 000 грн.,Щомісячну ціну SEO не включено до вартості створення.,Не нормалізовано в цій вибірці.
14,Cursor,https://cursor.net.ua/ua/,2026-09-12T19:34:43.221755+00:00,200,9030b3fd9ec3b636e03e0850fc8779f84b096c79511c554dc63d9675672edf54,from,UAH,Landing від 45 000 грн; корпоративний від 90 000; магазин від 300 000.,Landing — 5 екранів; корпоративний — 6–8 сторінок; магазин — 12–18 сторінок. Погодинна ставка має окремі часові умови.,Не нормалізовано в цій вибірці.
15,OD-web,https://od-web.com/uk/odessa/,2026-09-12T19:34:43.255735+00:00,200,1afb8bac552d1fd99d2c7dfc8882e1166bd5cb8c5d73cf83d168cb7588a87a36,from,USD,Landing від 300 USD; корпоративний від 400; магазин від 600.,Домен і сервер наведено як окремі регулярні витрати.,Мінімальні рекламні строки 1–4 дні не порівнюємо з повним індивідуальним проєктом.
16,Megasite,https://megasite.ua/ua/dnepr,2026-09-12T19:34:43.531203+00:00,200,38bd850ff07eed591023b883dbdd8000739c440a0f71edc1a0465884ba961dd6,general,UAH,Індивідуальна розробка від 75 000 грн.,Загальна відповідь FAQ; функціональний склад визначається проєктом.,Не нормалізовано в цій вибірці.
17,INPREZA,https://inpreza.ua/rozrobka-saitiv-dnipro/,2026-09-12T19:34:43.871830+00:00,200,a9181a30e83b9c80b7a9e91596352089d6f3f89e1591c5d6ec624fb4c926dbed,general,USD,Розробка від 1 000 USD; поруч приблизний еквівалент 45 000 грн.,"Еквівалент наведений джерелом, не наш валютний розрахунок. Промо на хостинг виключено.",Не нормалізовано в цій вибірці.
18,myDesign,https://mydesign.com.ua/ua/websites/dnipro,2026-09-12T19:34:43.945939+00:00,200,06d22639ae42c050c80a99cbb68d8124fdb6e30b2c10859bf0ed46e0436ce450,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Для порівняння потрібен індивідуальний кошторис.,Не нормалізовано в цій вибірці.
19,ATTICO,https://attico.dp.ua/ua,2026-09-12T19:34:44.014636+00:00,200,6c277a987da96f181df47609db141d4f3a0dad8de087628c49e218ecdabbc9da,from,UAH,Landing від 15 000 грн; візитка від 18 000; корпоративний від 35 000; магазин від 50 000.,Загальний нижчий поріг у FAQ не прирівнюємо до цих пакетів.,Не нормалізовано в цій вибірці.
20,PDM,https://profitable-digital-marketing.com/price/,2026-09-12T19:34:44.061958+00:00,200,0fdce91358d8e59f21b9d763b7660e4b11cfeb7655c96871ff6563d3102ccaab,tiered,UAH,Шаблонний landing 5 000 грн; адаптований 8 000; індивідуальний 23 000.,Три рівні кастомізації. Для магазину окремо 12 000 / 25 000 / 80 000 грн; не змішуємо рівні в одному середньому.,Не нормалізовано в цій вибірці.
21,SCS,https://webstudioscs.com/ua/stvorennya-saytiv/,2026-09-12T19:34:44.125750+00:00,200,cc6192515253864532dc6c3e459c66275567d64f39e04382199bc4dd0bde4eee,from,UAH,Landing від 4 600 грн; візитка від 11 800; корпоративний від 15 500; магазин від 22 500.,Каталог виділено окремо: від 19 800 грн. Хостинг не є ціною розробки.,Landing 5–10 днів; візитка від 2 тижнів; корпоративний 3–5; магазин від 6 тижнів.
22,Market Bridge,https://market-bridge.com.ua/ua/,2026-09-12T19:34:44.135746+00:00,200,fc66790c260c7d14ec897410d544998dd984a2c2b30578df2986d1feb5c37bb2,multi,USD; UAH,Заголовок: від 800 USD; інший блок: від 500; пакети 1 000 / 1 300 / 1 700 USD.,FAQ також містить 12 000 грн. Не обираємо найнижче число як універсальну пропозицію.,Не нормалізовано в цій вибірці.
23,Укртехсофт,https://ukrtechsoft.com/rozrobka-saitiv-kharkiv,2026-09-12T19:34:44.305744+00:00,200,f63fbc2f28ae232eb96c6a41b71b4a4be3a4c3daf6ca1022d077106f13837d74,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Потрібне окреме уточнення складу та бюджету.,Не нормалізовано в цій вибірці.
24,Q-WEB,https://q-web.com.ua/ua/,2026-09-12T19:34:44.611657+00:00,200,7aaf0b9907c416c9d1e063d85aa73f651e9405747917c502a3c1d0d1ecaaa07a,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Перелік послуг не є публічним кошторисом.,Не нормалізовано в цій вибірці.
25,AXIS,https://axis.com.ua/uk,2026-09-12T19:34:44.854309+00:00,200,1f25519520d7b82b52e8b151da5856f0080e5baa94c0cb073654feaac3d02568,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Не підмінюємо відсутнє значення нулем.,Не нормалізовано в цій вибірці.
