route,url,route_file,template_type,indexable,robots,canonical,canonical_relation,in_sitemap,redirect_target,title,h1_count,source_sha256_12
/,https://maxsite.com.ua/,index.html,home,true,"index, follow",https://maxsite.com.ua/,self,true,,"MAX SITE — сайти, SEO та Google Ads для бізнесу",1,3adb4f0e3f83
/404.html,https://maxsite.com.ua/404.html,404.html,supporting-page,false,noindex,,missing,false,,Сторінку не знайдено | MAX SITE,1,eadc77e0e708
/blog/,https://maxsite.com.ua/blog/,blog/index.html,blog-index,true,"index, follow",https://maxsite.com.ua/blog/,self,true,,Блог про створення сайтів для бізнесу | MAX SITE,1,249457784a40
/blog/canonical-url-prostymy-slovamy/,https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/,blog/canonical-url-prostymy-slovamy/index.html,article,true,"index, follow, max-image-preview:large",https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/,self,true,,Canonical URL простими словами | MAX SITE,1,c77a2993bff1
/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,blog/chomu-sajt-bez-seo-ne-daye-rezultatu/index.html,article,true,"index, follow",https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,self,true,,Чому сайт без SEO не дає результату | MAX SITE,1,b9bacbd926fd
/blog/chomu-tsiny-na-sajty-vidriznyayutsya/,https://maxsite.com.ua/blog/chomu-tsiny-na-sajty-vidriznyayutsya/,blog/chomu-tsiny-na-sajty-vidriznyayutsya/index.html,article,true,"index, follow",https://maxsite.com.ua/blog/chomu-tsiny-na-sajty-vidriznyayutsya/,self,true,,Чому ціни на сайти відрізняються у 5–10 разів,1,32ed7cf95506
/blog/ga4-konversiyi-dlya-sajtu/,https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/,blog/ga4-konversiyi-dlya-sajtu/index.html,article,true,"index, follow, max-image-preview:large",https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/,self,true,,GA4-конверсії для сайту бізнесу | MAX SITE,1,f10abadf07ef
/blog/google-ads-dlya-biznesu/,https://maxsite.com.ua/blog/google-ads-dlya-biznesu/,blog/google-ads-dlya-biznesu/index.html,article,true,"index, follow",https://maxsite.com.ua/blog/google-ads-dlya-biznesu/,self,true,,Google Ads для бізнесу: коли запускати рекламу | MAX SITE,1,2764290be70c
/blog/google-analytics-search-console/,https://maxsite.com.ua/blog/google-analytics-search-console/,blog/google-analytics-search-console/index.html,article,true,"index, follow",https://maxsite.com.ua/blog/google-analytics-search-console/,self,true,,Навіщо бізнесу Google Analytics і Search Console | MAX SITE,1,a89fd054b810
/blog/landing-dlya-google-ads/,https://maxsite.com.ua/blog/landing-dlya-google-ads/,blog/landing-dlya-google-ads/index.html,article,true,"index, follow, max-image-preview:large",https://maxsite.com.ua/blog/landing-dlya-google-ads/,self,true,,Лендінг для Google Ads: що впливає на заявки | MAX SITE,1,c0798431446d
