Campaign,Ad group,Keyword,Match type,Final URL,Status
Search-1,Створення програм,створення програм,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення програм,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка програм,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка програм,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення програм для бізнесу,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення програм для бізнесу,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка програм для бізнесу,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка програм для бізнесу,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення веб застосунків,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення веб застосунків,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка веб застосунків,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка веб застосунків,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,веб застосунок для бізнесу,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,веб застосунок для бізнесу,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення crm системи,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення crm системи,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,crm система для бізнесу,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,crm система для бізнесу,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,автоматизація бізнес процесів,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,автоматизація бізнес процесів,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка особистого кабінету,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,розробка особистого кабінету,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення mvp,Exact,https://maxsite.com.ua/stvorennya-program/,Paused
Search-1,Створення програм,створення mvp,Phrase,https://maxsite.com.ua/stvorennya-program/,Paused
