cluster,query_examples,intent,primary_url,supporting_urls,region,metric_period,clicks,impressions,ctr_pct,avg_position,device_scope,brand_scope,action,evidence
brand,"max site | maxsite | макс сайт",brand-navigation,https://maxsite.com.ua/,"https://maxsite.com.ua/pro-nas/",Ukraine,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,brand,keep-owner-monitor,"Exact brand row not disclosed; missing is not zero"
general-sites,"замовити сайт | сайт під ключ | створення сайтів під ключ",commercial-general,https://maxsite.com.ua/stvorennya-saytiv/,"https://maxsite.com.ua/ | https://maxsite.com.ua/stvorennya-saytu-dlya-biznesu/",Ukraine,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,keep-owner-monitor,"Exact priority rows not disclosed; 12.09 SERP gate keeps one owner"
business-site,"сайт для бізнесу | створення сайту для бізнесу",commercial-smb,https://maxsite.com.ua/stvorennya-saytu-dlya-biznesu/,"https://maxsite.com.ua/stvorennya-saytiv/",Ukraine,2026-09-05/2026-09-11,0,12,0,18.75,all,nonbrand,keep-distinct-owner,"Measured representative is exact query 'сайт для бізнесу'"
landing,"landing page під ключ | замовити лендінг",commercial-specialized,https://maxsite.com.ua/stvorennya-landing-page/,"https://maxsite.com.ua/blog/landing-dlya-google-ads/",Ukraine,2026-09-05/2026-09-11,0,16,0,33.25,all,nonbrand,keep-owner-monitor,"Exact query maps to expected landing in disclosed rows"
ecommerce,"інтернет магазин під ключ | створення інтернет магазину",commercial-specialized,https://maxsite.com.ua/stvorennya-internet-mahazynu/,"https://maxsite.com.ua/blog/shcho-vhodyt-u-stvorennya-internet-magazynu-pid-klyuch/",Ukraine,2026-09-05/2026-09-11,0,29,0,51.9655,all,nonbrand,keep-owner-diagnose-after-release,"Exact query maps to expected landing in disclosed rows"
service-business,"сайт для послуг | сайт сервісного бізнесу",commercial-specialized,https://maxsite.com.ua/sajty-dlya-poslug/,"https://maxsite.com.ua/nishi/",Ukraine,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,keep-owner-monitor,"No exact disclosed row in frozen current window"
corporate,"корпоративний сайт | створення корпоративного сайту",commercial-specialized,https://maxsite.com.ua/stvorennya-korporatyvnoho-saytu/,"https://maxsite.com.ua/stvorennya-saytu-dlya-biznesu/",Ukraine,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,keep-owner-monitor,"Distinct company-structure intent"
seo,"SEO просування сайту | просування сайту",commercial-seo,https://maxsite.com.ua/seo-prosuvannya/,"https://maxsite.com.ua/tehnichne-seo/ | https://maxsite.com.ua/seo-sajt-pid-google/",Ukraine,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,keep-owner-monitor,"Ongoing promotion stays separate from audit and SEO-ready build"
programs,"створення програм | розробка CRM",commercial-software,https://maxsite.com.ua/stvorennya-program/,"https://maxsite.com.ua/rozrobka-nextjs/",Ukraine,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,keep-owner-monitor,"No exact disclosed row in frozen current window"
cleaning,"лендінг для клінінгової компанії | сайт для клінінгу",commercial-niche,https://maxsite.com.ua/nishi/sajt-dlya-kliningovoyi-kompaniyi/,"https://maxsite.com.ua/portfolio/formula-chystoty/ | https://maxsite.com.ua/blog/sajt-dlya-kliningovoyi-kompaniyi/",Ukraine,2026-09-05/2026-09-11,0,4,0,12.5,all,nonbrand,keep-owner-monitor,"Exact measured query is 'лендінг для клінінгової компанії'; low volume"
city-kyiv,"створення сайтів київ | замовити сайт київ",local-commercial,https://maxsite.com.ua/mista/stvorennya-sajtiv-kyiv/,"https://maxsite.com.ua/stvorennya-saytiv/",Kyiv,2026-09-05/2026-09-11,0,10,0,90.3,all,nonbrand,keep-one-city-owner,"Metric is exact query 'створення сайтів київ'; second priority query has 16 impressions at 94.25"
city-cherkasy,"створення сайтів у черкасах | замовити сайт у черкасах",local-commercial,https://maxsite.com.ua/mista/stvorennya-sajtiv-cherkasy/,"https://maxsite.com.ua/portfolio/formula-chystoty/",Cherkasy,2026-09-05/2026-09-11,0,7,0,23.2857,all,nonbrand,keep-one-city-owner,"Exact measured query; low volume"
city-lviv,"створення сайтів львів | замовити сайт львів",local-commercial,https://maxsite.com.ua/mista/stvorennya-sajtiv-lviv/,"https://maxsite.com.ua/stvorennya-saytiv/",Lviv,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,pending-google-recrawl,"Fresh inspection still reflects noindex crawl from 2026-08-03"
city-odesa,"створення сайтів одеса | замовити сайт одеса",local-commercial,https://maxsite.com.ua/mista/stvorennya-sajtiv-odesa/,"https://maxsite.com.ua/stvorennya-saytiv/",Odesa,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,pending-google-recrawl,"Fresh inspection still reflects noindex crawl from 2026-08-03"
city-dnipro,"створення сайтів дніпро | замовити сайт дніпро",local-commercial,https://maxsite.com.ua/mista/stvorennya-sajtiv-dnipro/,"https://maxsite.com.ua/stvorennya-saytiv/",Dnipro,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,pending-google-recrawl,"Fresh inspection still reflects noindex crawl from 2026-08-03"
city-kharkiv,"створення сайтів харків | замовити сайт харків",local-commercial,https://maxsite.com.ua/mista/stvorennya-sajtiv-kharkiv/,"https://maxsite.com.ua/stvorennya-saytiv/",Kharkiv,2026-09-05/2026-09-11,n/d,n/d,n/d,n/d,all,nonbrand,pending-google-recrawl,"Fresh inspection still reflects noindex crawl from 2026-08-03"
