cluster,representative_query,current_owner,current_evidence,current_decision,decision_trigger,prohibited_without_trigger
brand,MAX SITE,https://maxsite.com.ua/,"Keyword map assigns brand; current title and H1 also target generic site/SEO/Ads terms",KEEP_AND_MEASURE,"GSC query/page export plus branded-query trend",Do not turn home into a duplicate national service page
national-websites,замовити сайт під ключ,https://maxsite.com.ua/stvorennya-saytiv/,"Clear commercial title/H1; mapped primary national owner",KEEP_OWNER,"Monitor national commercial queries and assisted leads",Do not create a synonym national URL
business-website,створення сайту для бізнесу,https://maxsite.com.ua/stvorennya-saytu-dlya-biznesu/,"Distinct multi-page business framing; terminology overlaps national owner",KEEP_PENDING_GSC,"16-month query/page comparison; backlinks; conversion role; two dated top-10 samples",No 301/noindex from copy similarity alone
ukraine-geo,створення сайтів в Україні,https://maxsite.com.ua/mista/stvorennya-sajtiv-ukrayina/,"National geo language overlaps national and business owners; two distinct inlink sources",PRESERVE_PENDING_CONSOLIDATION_TEST,"16-month GSC; backlinks; conversion role; two dated top-10 samples; approved migration plan",No 301/noindex until evidence shows no independent value
custom-software,створення програм для бізнесу,https://maxsite.com.ua/stvorennya-program/,"Distinct software/CRM/web-app intent",KEEP_OWNER,"Monitor software queries and qualified leads",Do not mix with general website owner
city-kyiv,створення сайтів Київ,https://maxsite.com.ua/mista/stvorennya-sajtiv-kyiv/,"Existing Wave 1 hub with unique scenarios; SERP overlap remains UNKNOWN",KEEP_EXISTING_PENDING_SERP,"Two complete dated organic top-10 samples plus GSC query/page data",Do not create city x service URLs
city-lviv,створення сайтів Львів,https://maxsite.com.ua/mista/stvorennya-sajtiv-lviv/,"Existing Wave 1 hub with unique scenarios; SERP overlap remains UNKNOWN",KEEP_EXISTING_PENDING_SERP,"Two complete dated organic top-10 samples plus GSC query/page data",Do not create city x service URLs
city-odesa,створення сайтів Одеса,https://maxsite.com.ua/mista/stvorennya-sajtiv-odesa/,"Existing Wave 1 hub with unique scenarios; SERP overlap remains UNKNOWN",KEEP_EXISTING_PENDING_SERP,"Two complete dated organic top-10 samples plus GSC query/page data",Do not create city x service URLs
city-dnipro,створення сайтів Дніпро,https://maxsite.com.ua/mista/stvorennya-sajtiv-dnipro/,"Existing Wave 1 hub with unique scenarios; SERP overlap remains UNKNOWN",KEEP_EXISTING_PENDING_SERP,"Two complete dated organic top-10 samples plus GSC query/page data",Do not create city x service URLs
city-kharkiv,створення сайтів Харків,https://maxsite.com.ua/mista/stvorennya-sajtiv-kharkiv/,"Existing Wave 1 hub with unique scenarios; SERP overlap remains UNKNOWN",KEEP_EXISTING_PENDING_SERP,"Two complete dated organic top-10 samples plus GSC query/page data",Do not create city x service URLs
niche-cleaning,сайт для клінінгової компанії,https://maxsite.com.ua/nishi/sajt-dlya-kliningovoyi-kompaniyi/,"Supported by a relevant live Formula Chystoty case",KEEP_OWNER,"Monitor niche query/page and qualified leads",Do not create synonym niche pages
