asset,current_url,status,evidence_required,next_action,publication_rule
Budget and timeline calculator,https://maxsite.com.ua/kalkulyator-vartosti-saytu/,READY_FOR_RELEASE,Four published starting prices; scope questions; clipboard/Telegram/email export; no invented numeric timeline,Verify live deployment and obtain calibrated delivery-time ranges from owner,Starting prices are not a final quote or market research
Website brief,https://maxsite.com.ua/assets/downloads/max-site-brief.md,READY,Local source present,Monitor downloads and update only after substantive review,No PII or secrets in completed shared copies
Technical specification template,https://maxsite.com.ua/assets/downloads/max-site-technical-spec.md,READY,Local source present,Monitor downloads and update only after substantive review,Label as template not legal contract
Launch QA checklist,https://maxsite.com.ua/assets/downloads/max-site-launch-checklist.md,READY,Local source present,Monitor downloads and update only after substantive review,Separate lab tests from field CWV
SEO migration checklist,https://maxsite.com.ua/assets/downloads/max-site-seo-migration-checklist.md,READY_FOR_RELEASE,URL mapping; hosting-only distinction; acceptance; rollback; day2/7/14/30 checks,Verify downloadable asset after deploy,Checklist is not proof that a hosting migration has occurred
Next.js WordPress Shopify Horoshop comparison,https://maxsite.com.ua/blog/nextjs-chy-wordpress/,READY_FOR_RELEASE,Four-platform sourced TCO/SEO/speed/support comparison and downloadable comparison CSV,Verify live deployment and periodically recheck official terms,Do not invent platform costs or performance
Ukraine website price research,https://maxsite.com.ua/blog/skilky-koshtuye-stvorennya-sajtu/#doslidzhennya-50-studiy,READY_FOR_RELEASE,50 distinct primary pages; dated and manually scoped observations; CSV/JSON; no misleading pooled median,Verify production after this release; repeat the same cohort 2026-12-12,Internal MAX SITE tariff table is not market research
Anonymized GSC and CWV benchmark,,DATA_REQUIRED,Owned/permissioned exports; anonymization method; sample size; periods,Build aggregate benchmark after permission and privacy review,Never expose PII or client identity without permission
Kyiv SERP study,https://maxsite.com.ua/blog/analiz-google-stvorennya-sajtiv-kyiv/,LIVE,15 dated organic query samples and primary-source decision evidence,Monitor settled GSC and repeat SERP when meaningful changes occur,No guessed overlap percentage
Lviv SERP study,,DATA_REQUIRED,Two dated organic top-10 samples; country; language; device,Record in SERP study template then publish only reproducible findings,No guessed overlap percentage
Odesa SERP study,,DATA_REQUIRED,Two dated organic top-10 samples; country; language; device,Record in SERP study template then publish only reproducible findings,No guessed overlap percentage
Dnipro SERP study,,DATA_REQUIRED,Two dated organic top-10 samples; country; language; device,Record in SERP study template then publish only reproducible findings,No guessed overlap percentage
Kharkiv SERP study,,DATA_REQUIRED,Two dated organic top-10 samples; country; language; device,Record in SERP study template then publish only reproducible findings,No guessed overlap percentage
