url,route_file,template_type,indexable,canonical,title,description,h1,word_count_main,schema_types,internal_inlinks,internal_outlinks,sitemap,status_code,redirect_target,notes
https://maxsite.com.ua/,index.html,home,true,https://maxsite.com.ua/,"MAX SITE — сайти, SEO та Google Ads для бізнесу","MAX SITE створює сайти, налаштовує SEO, аналітику та Google Ads для бізнесу в Україні. Один відповідальний за структуру, запуск і розвиток.","Сайти, SEO та Google Ads для росту бізнесу",1748,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|ProfessionalService|Question|WebPage|WebSite,430,77,true,NOT_FETCHED,,
https://maxsite.com.ua/404.html,404.html,supporting-page,false,,Сторінку не знайдено | MAX SITE,"Сторінку не знайдено. Перейдіть на головну, послуги, блог або контакти MAX SITE.",Сторінку не знайдено,38,,0,11,false,NOT_FETCHED,,
https://maxsite.com.ua/blog/,blog/index.html,blog-index,true,https://maxsite.com.ua/blog/,Блог про створення сайтів для бізнесу | MAX SITE,"SEO-блог MAX SITE про створення сайтів, лендінги, корпоративні сайти, Google Ads, аналітику та просування бізнесу в Google.",Блог про створення сайтів,235,BreadcrumbList|ListItem|Organization|WebPage|WebSite,256,66,true,NOT_FETCHED,,
https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/,blog/canonical-url-prostymy-slovamy/index.html,article,true,https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/,Canonical URL простими словами | MAX SITE,"Коли потрібен self-canonical, чому дублікати шкодять і як перевірити канонічні сторінки.",Canonical URL простими словами,338,Article|BreadcrumbList|ListItem|Organization|WebPage|WebSite,1,31,true,NOT_FETCHED,,
https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,blog/chomu-sajt-bez-seo-ne-daye-rezultatu/index.html,article,true,https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,Чому сайт без SEO не дає результату | MAX SITE,Чому красивого дизайну недостатньо і як SEO-структура допомагає сайту працювати в Google.,Чому сайт без SEO не дає результату,463,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question|WebPage|WebSite,2,49,true,NOT_FETCHED,,
https://maxsite.com.ua/blog/chomu-tsiny-na-sajty-vidriznyayutsya/,blog/chomu-tsiny-na-sajty-vidriznyayutsya/index.html,article,true,https://maxsite.com.ua/blog/chomu-tsiny-na-sajty-vidriznyayutsya/,Чому ціни на сайти відрізняються у 5–10 разів,"Розбір різниці у вартості сайтів: склад робіт, шаблон чи custom, контент, інтеграції, SEO, QA, ризики та повна вартість володіння.",Чому ціни на сайти відрізняються у 5–10 разів,456,Article|BreadcrumbList|ListItem|Organization|WebPage|WebSite,2,50,true,NOT_FETCHED,,
https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/,blog/ga4-konversiyi-dlya-sajtu/index.html,article,true,https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/,GA4-конверсії для сайту бізнесу | MAX SITE,"Які події налаштувати для форм, телефону, месенджерів, цін і портфоліо.",GA4-конверсії для сайту бізнесу,333,Article|BreadcrumbList|ListItem|Organization|WebPage|WebSite,1,31,true,NOT_FETCHED,,
https://maxsite.com.ua/blog/google-ads-dlya-biznesu/,blog/google-ads-dlya-biznesu/index.html,article,true,https://maxsite.com.ua/blog/google-ads-dlya-biznesu/,Google Ads для бізнесу: коли запускати рекламу | MAX SITE,"Коли бізнесу варто запускати Google Ads, що потрібно для старту та як контролювати заявки.",Google Ads для бізнесу: коли варто запускати рекламу,405,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question|WebPage|WebSite,1,49,true,NOT_FETCHED,,
https://maxsite.com.ua/blog/google-analytics-search-console/,blog/google-analytics-search-console/index.html,article,true,https://maxsite.com.ua/blog/google-analytics-search-console/,Навіщо бізнесу Google Analytics і Search Console | MAX SITE,"Навіщо підключати Google Analytics і Search Console: контроль трафіку, заявок, індексації та помилок сайту.",Навіщо бізнесу Google Analytics і Search Console,409,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question|WebPage|WebSite,1,49,true,NOT_FETCHED,,
https://maxsite.com.ua/blog/landing-dlya-google-ads/,blog/landing-dlya-google-ads/index.html,article,true,https://maxsite.com.ua/blog/landing-dlya-google-ads/,Лендінг для Google Ads: що впливає на заявки | MAX SITE,"Структура рекламної сторінки, відповідність запиту, швидкість, довіра та вимірювання.",Лендінг для Google Ads: що впливає на заявки,418,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question|WebPage|WebSite,2,31,true,NOT_FETCHED,,
